OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,FullBath,YearBuilt,YearRemodAdd,LotArea,BedroomAbvGr,SalePrice
7,1710,2,548,856,2,2003,2003,8450,3,208500
6,1262,2,460,1262,2,1976,1976,9600,3,181500
7,1786,2,608,920,2,2001,2002,11250,3,223500
7,1717,3,642,756,1,1915,1970,9550,3,140000
8,2198,3,836,1145,2,2000,2000,14260,4,250000
5,1362,2,480,796,1,1993,1995,14115,1,143000
8,1694,2,636,1686,2,2004,2005,10084,3,307000
7,2090,2,484,1107,2,1973,1973,10382,3,200000
7,1774,2,468,952,2,1931,1950,6120,2,129900
5,1077,1,205,991,1,1939,1950,7420,2,118000
5,1040,1,384,1040,1,1965,1965,11200,3,129500
9,2324,3,736,1175,3,2005,2006,11924,4,345000
5,912,1,352,912,1,1962,1962,12968,2,144000
7,1494,3,840,1494,2,2006,2007,10652,3,279500
6,1253,1,352,1253,1,1960,1960,10920,2,157000
7,854,2,576,832,1,1929,2001,6120,2,132000
6,1004,2,480,1004,1,1970,1970,11241,2,149000
4,1296,2,516,0,2,1967,1967,10791,2,90000
5,1114,2,576,1114,1,2004,2004,13695,3,159000
5,1339,1,294,1029,1,1958,1965,7560,3,139000
8,2376,3,853,1158,3,2005,2006,14215,4,325300
7,1108,1,280,637,1,1930,1950,7449,3,139400
8,1795,2,534,1777,2,2002,2002,9742,3,230000
5,1060,2,572,1040,1,1976,1976,4224,3,129900
5,1060,1,270,1060,1,1968,2001,8246,3,154000
8,1600,3,890,1566,2,2007,2007,14230,3,256300
5,900,2,576,900,1,1951,2000,7200,3,134800
8,1704,3,772,1704,2,2007,2008,11478,3,306000
5,1600,1,319,1484,1,1957,1997,16321,2,207500
4,520,1,240,520,1,1927,1950,6324,1,68500
4,1317,1,250,649,1,1920,1950,8500,3,40000
5,1228,1,271,1228,1,1966,2006,8544,3,149350
8,1234,2,484,1234,2,2007,2007,11049,3,179900
5,1700,2,447,1398,1,1959,1959,10552,4,165500
9,1561,2,556,1561,2,2005,2005,7313,2,277500
8,2452,3,691,1117,3,2004,2005,13418,4,309000
5,1097,2,672,1097,1,1994,1995,10859,3,145000
5,1297,2,498,1297,1,1954,1990,8532,3,153000
5,1057,1,246,1057,1,1953,2007,7922,3,109000
4,1152,0,0,0,2,1955,1955,6040,2,82000
6,1324,2,440,1088,2,1965,1965,8658,3,160000
5,1328,1,308,1350,1,1959,1959,16905,2,170000
5,884,2,504,840,1,1983,1983,9180,2,144000
5,938,1,308,938,1,1975,1980,9200,3,130250
5,1150,1,300,1150,1,1959,1959,7945,3,141000
9,1752,2,576,1752,2,2005,2005,7658,2,319900
7,2149,2,670,1434,1,2003,2003,12822,1,239686
8,1656,3,826,1656,2,2006,2006,11096,3,249700
4,1452,0,0,736,2,1920,2008,4456,2,113000
5,955,1,386,955,1,1966,1966,7742,3,127000
6,1470,2,388,794,2,1997,1997,13869,3,177000
6,1176,2,528,816,1,1934,1950,6240,3,114500
5,816,2,516,816,1,1963,1963,8472,2,110000
9,1842,3,894,1842,0,1981,1987,50271,0,385000
5,1360,2,572,384,1,1955,1955,7134,3,130000
6,1425,2,576,1425,2,1964,1964,10175,3,180500
8,1739,2,480,970,2,1999,2000,2645,3,172500
7,1720,2,565,860,2,2004,2004,11645,3,196500
10,2945,3,641,1410,3,2006,2006,13682,3,438780
5,780,1,352,780,1,1972,1972,7200,2,124900
6,1158,2,576,1158,1,2004,2004,13072,3,158000
5,1111,1,288,530,1,1920,1996,7200,3,101000
8,1370,2,484,1370,2,2006,2006,6442,2,202500
7,1710,2,480,576,2,1921,1950,10300,3,140000
7,2034,2,645,1057,2,1997,1998,9375,3,219500
8,2473,3,852,1143,2,2004,2005,9591,4,317000
7,2207,2,576,1947,2,1970,1989,19900,3,180000
7,1479,2,558,1453,2,2003,2003,10665,3,226000
4,747,1,220,747,1,1945,1950,4608,2,80000
7,2287,2,667,1304,2,1953,1953,15593,3,225000
7,2223,2,516,2223,2,1973,1973,13651,3,244000
4,845,2,360,845,1,1982,2006,7599,2,129500
7,1718,2,427,832,2,1998,1998,10141,3,185000
5,1086,2,490,1086,1,1954,2003,10200,3,144900
3,1605,1,379,840,2,1915,1950,5790,3,107400
4,988,1,297,462,1,1973,1973,1596,2,91000
4,952,1,283,952,1,1956,1956,8475,2,135750
5,1285,1,240,672,1,1948,2001,8635,2,127000
4,1768,0,0,1768,2,1968,1968,10778,4,136500
5,1230,2,440,440,1,1910,1981,10440,2,110000
6,2142,1,509,896,2,1968,1968,13000,4,193500
6,1337,2,405,1237,2,1998,1998,4500,2,153500
8,1563,3,758,1563,2,2007,2007,10206,3,245000
5,1065,2,461,1065,1,1960,1960,8892,3,126500
7,1474,2,400,384,2,1995,1996,8530,3,168500
8,2417,2,462,1288,2,1991,1992,16059,4,260000
6,1560,2,400,684,2,2005,2005,11911,3,174000
6,1224,2,528,612,2,2009,2009,3951,2,164500
3,1526,0,0,1013,1,1915,1982,8470,2,85000
4,990,0,0,990,1,1994,1995,8070,3,123600
4,1040,2,420,0,1,1950,1950,7200,2,109900
5,1235,2,480,1235,1,1961,1961,8500,2,98600
5,964,2,432,876,1,1921,2006,13360,2,163500
6,2291,2,506,1214,2,1910,1998,7200,4,133900
6,1786,2,684,824,2,1997,1997,9337,3,204750
6,1470,2,420,680,2,1993,1993,9765,3,185000
7,1588,2,472,1588,2,1999,1999,10264,3,214000
4,960,1,432,960,1,1965,1965,10921,3,94750
5,835,1,366,458,1,1920,1950,10625,2,83000
4,1225,0,0,950,1,1959,1959,9320,3,128950
6,1610,2,480,1610,2,1977,2001,10603,3,205000
6,1732,2,476,741,2,1985,1985,9206,3,178000
5,1535,2,410,0,2,1979,1979,7018,4,118964
7,1226,3,740,1226,2,2009,2009,10402,3,198900
7,1818,1,240,1040,1,1931,1950,7758,4,169500
8,1992,2,648,1053,2,2003,2004,9375,3,250000
4,1047,1,273,641,1,1885,1995,10800,2,100000
5,789,1,250,789,1,1948,1950,6000,2,115000
5,1517,0,0,793,2,1919,2005,8500,3,115000
6,1844,2,546,1844,2,1977,1977,11751,3,190000
6,1855,1,325,994,2,1954,1972,9525,4,136900
7,1430,2,400,384,2,2000,2000,7750,3,180000
7,2696,3,792,1264,2,2007,2007,9965,4,383970
6,2259,2,450,1809,2,1953,1953,21000,3,217000
6,2320,1,180,1028,2,1945,2002,7259,3,259500
6,1458,2,440,729,2,1999,1999,3230,2,176000
5,1092,1,288,1092,1,1962,1962,11616,3,139000
5,1125,2,430,1125,1,2006,2007,8536,2,155000
7,3222,3,594,1673,3,1990,1990,12376,5,320000
6,1456,2,390,728,2,2005,2006,8461,3,163990
6,988,2,540,938,1,1969,1969,21453,1,180000
4,1123,1,264,732,1,1939,1950,6060,3,100000
6,1080,1,288,1080,1,1958,1958,9464,3,136000
6,1199,2,530,1199,2,1993,1993,7892,2,153900
6,1586,2,435,1362,2,1979,1998,17043,3,181000
6,754,0,0,520,1,1935,1982,6780,2,84500
6,958,2,440,1078,2,1976,1976,4928,2,128000
5,840,0,0,672,1,1930,1950,4388,3,87000
6,1348,2,453,660,1,1966,1966,7590,3,155000
5,1053,2,750,1008,1,1958,1991,8973,3,150000
7,2157,2,487,924,2,1966,1966,14200,4,226000
6,2054,2,390,992,2,2000,2000,12224,3,244000
5,1327,2,624,1063,1,1959,2002,7388,3,150750
8,1296,2,471,1267,2,2001,2002,6853,2,220000
5,1721,2,440,1461,2,1968,1993,10335,3,180000
7,1682,2,530,1304,2,1970,1970,10400,3,174000
